Sr No,date,startup,vertical,subvertical,city,investors,round,amount,day,month,year
1,2020-01-09 ,BYJU'S                                                 ,e-tech                                                     ,E-learning                                                                                            ,Bengaluru              ,Tiger global management                                                                                                                                                             ,Private Equity              ,1650.0,9,1,2020
2,2020-01-13 ,Shuttl                                                 ,transportation                                             ,App based shuttle service                                                                             ,Gurugram               ,Susquehanna growth equity                                                                                                                                                           ,Series C                    ,66.3992505,13,1,2020
3,2020-01-09 ,Mamaearth                                              ,E-Commerce                                                 ,Retailer of baby and toddler products                                                                 ,Bengaluru              ,Sequoia capital india                                                                                                                                                               ,Series B                    ,151.460595,9,1,2020
4,2020-01-02 ,wealthbucket                                           ,fintech                                                    ,Online Investment                                                                                     ,New Delhi              ,Vinod khatumal                                                                                                                                                                      ,Pre-series A                ,24.75,2,1,2020
5,2020-01-02 ,Fashor                                                 ,fashion and apparel                                        ,Embroiled Clothes For Women                                                                           ,Mumbai                 ,Sprout venture partners                                                                                                                                                             ,Seed Round                  ,14.85,2,1,2020
6,2020-01-13 ,Pando                                                  ,logistics                                                  ,"Open-market, freight management platform                                                            ",Chennai                ,Chiratae ventures                                                                                                                                                                   ,Series A                    ,74.25,13,1,2020
7,2020-01-10 ,Zomato                                                 ,hospitality                                                ,Online Food Delivery                                                                                  ,Gurugram               ,Ant financial                                                                                                                                                                       ,Private Equity              ,1237.5,10,1,2020
8,2019-12-12 ,Ecozen                                                 ,technology                                                 ,Agritech                                                                                              ,Pune                   ,Sathguru catalyzer advisors                                                                                                                                                         ,Series A                    ,49.5,12,12,2019
9,2019-12-06 ,CarDekho                                               ,E-Commerce                                                 ,Automobile                                                                                            ,Gurugram               ,Ping an global voyager fund                                                                                                                                                         ,Series D                    ,577.5,6,12,2019
10,2019-12-03 ,Dhruva Space                                           ,aerospace                                                  ,Satellite Communication                                                                               ,Bengaluru              ,"Mumbai angels, Ravikanth reddy                                                                                                                                                    ",Seed                        ,412.5,3,12,2019
11,2019-12-13 ,Rivigo                                                 ,technology                                                 ,Logistics Services and Solutions                                                                      ,Gurugram               ,"Saif partners, Spring canter investment ltd.                                                                                                                                      ",Series F                    ,165.0,13,12,2019
12,2019-12-17 ,Healthians                                             ,b2b-focused foodtech startup                               ,Food Solutions For Corporate                                                                          ,Bengaluru              ,"Paytm, Nptk, Sabre partners and neoplux                                                                                                                                           ",Series C                    ,99.0,17,12,2019
13,2019-12-16 ,Licious                                                ,E-Commerce                                                 ,Online Meat And Seafood Ordering Startup                                                              ,Bengaluru              ,Vertex growth fund                                                                                                                                                                  ,Series E                    ,247.5,16,12,2019
15,2019-12-14 ,Trell                                                  ,video                                                      ,Experience Discovery Platform                                                                         ,Bengaluru              ,Ruizheng investment                                                                                                                                                                 ,Seed Round                  ,16.5,14,12,2019
16,2019-12-11 ,Rein Games                                             ,gaming                                                     ,Real money based gaming startup                                                                       ,Noida                  ,Manipal education and medical group (memg)                                                                                                                                          ,Seed Round                  ,412.5,11,12,2019
17,2019-12-20 ,Lenskart                                               ,E-Commerce                                                 ,Online Eyewear Shopping Portal                                                                        ,Faridabad              ,Softbank vision fund                                                                                                                                                                ,Series G                    ,1905.75,20,12,2019
18,2019-11-13 ,Freshworks                                             ,software                                                   ,Business and customer engagement tools                                                                ,San Francisco          ,"Sequoia, Capitalg, Accel                                                                                                                                                          ",Series H                    ,1237.5,13,11,2019
19,2019-11-14 ,Misters                                                ,health and wellness                                        ,Men's Health and Wellness brand                                                                       ,Gurugram               ,"Sauce.vc, Rainforest ventures                                                                                                                                                     ",Series B                    ,4.0095,14,11,2019
20,2019-11-13 ,Sunstone Eduversity Pvt. Ltd                           ,education                                                  ,Elearning                                                                                             ,Gurugram               ,"Prime venture partners, Letsventure, Ps1 venture and globallogic co-founder rajul garg                                                                                            ",Seed                        ,12.375,13,11,2019
21,2019-11-17 ,Burger Singh                                           ,food and beverage                                          ,Indian Burger Brand                                                                                   ,Gurugram               ,Rb investments                                                                                                                                                                      ,Venture                     ,0.0,17,11,2019
22,2019-11-18 ,Healthians                                             ,health and wellness                                        ,Healthcare services                                                                                   ,Gurugram               ,"Dg daiwa ventures, Dg incubation                                                                                                                                                  ",Series B                    ,99.0,18,11,2019
23,2019-11-15 ,Ninjacart                                              ,b2b marketing                                              ,Agritech                                                                                              ,Bengaluru              ,Trifecta capital advisors                                                                                                                                                           ,Debt Funding                ,214.5,15,11,2019
24,2019-11-20 ,Aye Finance                                            ,fintech                                                    ,Financial Services To MSMEs                                                                           ,Gurugram               ,Fintech                                                                                                                                                                             ,Debt Funding                ,143.64293625,20,11,2019
25,2019-11-12 ,SuperGaming                                            ,video games                                                ,Social gaming platform                                                                                ,Pune                   ,Dream incubator                                                                                                                                                                     ,Seed Funding                ,10.725,12,11,2019
26,2019-11-20 ,Clumio                                                 ,saas                                                       ,Recovery software                                                                                     ,"San Jose,            ","Altimeter capital, Sutter hill ventures                                                                                                                                           ",Series C                    ,1113.75,20,11,2019
27,2019-11-11 ,eBikeGo                                                ,last mile transportation                                   ,Electric bike rental                                                                                  ,Amritsar               ,Startup buddy                                                                                                                                                                       ,Seed                        ,2.475,11,11,2019
28,2019-11-19 ,Digital Mall Asia                                      ,E-Commerce                                                 ,Virtual e-commerce platform                                                                           ,Delhi                  ,Amour infrastructure                                                                                                                                                                ,Seed Funding                ,1815.0,19,11,2019
29,2019-11-18 ,Medikabazaar                                           ,healthcare                                                 ,B2B platform for medical supplies                                                                     ,Mumbai                 ,"Ackermans & van haaren, Healthquad, Rebright partners, Toppan printing                                                                                                            ",Series B                    ,130.35,18,11,2019
30,2019-11-15 ,Vogo Automotive                                        ,last mile transportation                                   ,Scooter sharing app                                                                                   ,Kormangala             ,"Matrix partners, Stellaris venture partners, Kalaari capital                                                                                                                      ",Series B                    ,2334.75,15,11,2019
32,2019-11-25 ,Paytm                                                  ,fintech                                                    ,Mobile Wallet                                                                                         ,Noida                  ,Vijay shekhar sharma                                                                                                                                                                ,Funding Round               ,8250.0,25,11,2019
33,2019-10-04 ,Dunzo                                                  ,customer service                                           ,Delivery Service                                                                                      ,Bengaluru              ,Lightbox                                                                                                                                                                            ,Series D                    ,371.25,4,10,2019
34,2019-10-02 ,Udaan                                                  ,b2b                                                        ,Business development                                                                                  ,Bengaluru              ,"Altimeter capital, Dst global                                                                                                                                                     ",Series D                    ,4826.25,2,10,2019
35,2019-10-21 ,The Man Company                                        ,consumer goods                                             ,Beauty and Grooming                                                                                   ,Gurugram               ,Ayushmann khurana                                                                                                                                                                   ,Corporate Round             ,0.0,21,10,2019
36,2019-09-05 ,FPL Technologies                                       ,fintech                                                    ,Financial Services                                                                                    ,Pune                   ,"Matrix partners india, Sequoia india                                                                                                                                              ",Maiden Round                ,37.125,5,9,2019
37,2019-09-04 ,Cashflo                                                ,fintech                                                    ,Invoice discounting platform and SME lending marketplace                                              ,Mumbai                 ,Saif partners                                                                                                                                                                       ,Series A                    ,27.225,4,9,2019
38,2019-09-04 ,Digital F5                                             ,"advertising, marketing                                   ",Digital marketing firm                                                                                ,Mumbai                 ,Tiw private equity                                                                                                                                                                  ,Private Equity              ,49.5,4,9,2019
39,2019-09-04 ,3rdFlix                                                ,saas                                                       ,Education Technology                                                                                  ,Hyderabad              ,Exfinity venture partners                                                                                                                                                           ,pre-series A                ,41.25,4,9,2019
40,2019-09-04 ,75F                                                    ,iot                                                        ,Building automation system                                                                            ,Burnsville             ,Breakthrough energy ventures                                                                                                                                                        ,Series A                    ,148.5,4,9,2019
41,2019-09-04 ,Myelin Foundry                                         ,information technology                                     ,Deep-technology                                                                                       ,Bengaluru              ,Endiya partners                                                                                                                                                                     ,Seed                        ,8.25,4,9,2019
42,2019-09-04 ,Atomberg Technology                                    ,consumer technology                                        ,"Consumer Electronics, Home Appliances                                                               ",Mumbai                 ,A91 partners                                                                                                                                                                        ,Series A                    ,82.5,4,9,2019
43,2019-09-04 ,GOQii                                                  ,health and wellness                                        ,Wearable Fitness Bands                                                                                ,Menlo Park             ,Bennett coleman and company ltd (bccl)                                                                                                                                              ,Series C                    ,3712.5,4,9,2019
44,2019-09-03 ,Vyapar App                                             ,accounting                                                 ,Mobile-based Accounting Software                                                                      ,Bengaluru              ,"India quotient, Axilor ventures                                                                                                                                                   ",Series A                    ,41.25,3,9,2019
45,2019-08-01 ,CarDekho                                               ,E-Commerce                                                 ,Automotive                                                                                            ,Gurugram               ,Sc gg india mobility holdings llc                                                                                                                                                   ,Series C                    ,165.0,1,8,2019
46,2019-08-01 ,Progcap                                                ,finance                                                    ,Supply Chain Management                                                                               ,New Delhi              ,Sequoia india                                                                                                                                                                       ,Series A                    ,41.25,1,8,2019
48,2019-08-01 ,Alteria Capital                                        ,finance                                                    ,VC Funds                                                                                              ,Mumbai                 ,"Azim premji, Binny bansal                                                                                                                                                         ",Single Venture              ,1155.0,1,8,2019
49,2019-08-01 ,Pine Labs                                              ,information technology                                     ,Last-mile retail transaction technology                                                               ,Noida                  ,Pine labs pte ltd                                                                                                                                                                   ,Corporate Round             ,314.16,1,8,2019
50,2019-08-12 ,Meesho                                                 ,E-Commerce                                                 ,Social Commerce                                                                                       ,Bengaluru              ,Naspers                                                                                                                                                                             ,Series D                    ,1031.25,12,8,2019
51,2019-08-13 ,Cars24                                                 ,E-Commerce                                                 ,Car Retail                                                                                            ,Gurugram               ,Ms dhoni                                                                                                                                                                            ,Series D                    ,90.75,13,8,2019
52,2019-08-13 ,Uniphore                                               ,customer service platform                                  ,Conversational AI                                                                                     ,Palo Alto              ,March capital partners                                                                                                                                                              ,Series C                    ,420.75,13,8,2019
53,2019-08-23 ,Zendrive                                               ,automotive                                                 ,Road Safety Analytics                                                                                 ,San Francisco          ,Xl innovate                                                                                                                                                                         ,Series B                    ,305.25,23,8,2019
54,2019-08-23 ,Lo! Foods                                              ,consumer goods                                             ,Low carb food for Diabetics                                                                           ,Bengaluru              ,"Rashmi daga (founder, Freshmenu), Raveen sastry (co-founder, Myntra) and mitesh shah (finance chief, Bookmyshow)                                                                  ",Seed Round                  ,4.125,23,8,2019
55,2019-08-23 ,Tala                                                   ,fintech                                                    ,Digital Lending Platform                                                                              ,Santa Monica           ,Rps ventures                                                                                                                                                                        ,Series D                    ,907.5,23,8,2019
56,2019-08-22 ,INDwealth                                              ,fintech                                                    ,Wealth Management                                                                                     ,Gurugram               ,Tiger global management                                                                                                                                                             ,Venture Round               ,123.75,22,8,2019
57,2019-08-21 ,HungerBox                                              ,food and beverage                                          ,B2B Foodtech                                                                                          ,Bengaluru              ,One97 communications ltd.                                                                                                                                                           ,Series C                    ,54.3675,21,8,2019
58,2019-08-23 ,AdmitKard                                              ,edtech                                                     ,University Admissions                                                                                 ,Noida                  ,Growth dna                                                                                                                                                                          ,Seed Round                  ,8.25,23,8,2019
59,2019-08-19 ,Mishry Reviews                                         ,services                                                   ,Product Review                                                                                        ,Gurugram               ,Vir sanghvi                                                                                                                                                                         ,Series A                    ,0.0,19,8,2019
60,2019-08-19 ,Grofers                                                ,E-Commerce                                                 ,Grocery Delivery                                                                                      ,Gurugram               ,Softbank vision fund                                                                                                                                                                ,Series F                    ,577.5,19,8,2019
61,2019-08-27 ,Rapido                                                 ,transportation                                             ,Bike Taxi                                                                                             ,Bengaluru              ,Westbridge capital                                                                                                                                                                  ,Series B                    ,32175.0,27,8,2019
62,2019-07-02 ,RenewBuy                                               ,finance                                                    ,Auto Insurance                                                                                        ,Gurugram               ,"Lok capital, Iifl wealth                                                                                                                                                          ",Series B                    ,156.75,2,7,2019
63,2019-07-02 ,Atlan                                                  ,information technology                                     ,Big Data                                                                                              ,Singapore              ,Waterbridge ventures                                                                                                                                                                ,Pre-Series A                ,20.625,2,7,2019
64,2019-07-01 ,WizCounsel                                             ,compliance                                                 ,Consulting                                                                                            ,New Delhi              ,Kapil dev                                                                                                                                                                           ,Angel                       ,1.19625,1,7,2019
65,2019-07-03 ,Ola                                                    ,transport                                                  ,Cabs                                                                                                  ,Kormangala             ,"Dig investment ab, Deshe holdings, Samih toukan and hussam khoury                                                                                                                 ",Series J                    ,8.25,3,7,2019
66,2019-07-01 ,Uniphore                                               ,artificial intelligence                                    ,Speech Recognition                                                                                    ,Taramani               ,March capital partners                                                                                                                                                              ,Series C                    ,314.16,1,7,2019
67,2019-07-04 ,Daalchini Technologies                                 ,food and beverage                                          ,Digital Vending Machine                                                                               ,New Delhi              ,Artha venture                                                                                                                                                                       ,Seed Round                  ,4.125,4,7,2019
68,2019-07-10 ,BYJU'S                                                 ,edtech                                                     ,Education                                                                                             ,Bengaluru              ,Qatar investment authority                                                                                                                                                          ,Private Equity              ,1237.5,10,7,2019
69,2019-07-11 ,Moglix                                                 ,E-Commerce                                                 ,Industrial Tools and Equipments                                                                       ,Singapore              ,"Composite capital management, Sequoia capital india, Tiger global management                                                                                                      ",Series D                    ,495.0,11,7,2019
70,2019-07-10 ,Ezyhaul                                                ,tech                                                       ,Logistics                                                                                             ,Singapore              ,Undisclosed                                                                                                                                                                         ,Series B                    ,132.0,10,7,2019
71,2019-07-10 ,Indus OS                                               ,tech                                                       ,Smartphone Operating System                                                                           ,Andheri                ,Ventureast                                                                                                                                                                          ,Series B                    ,47.4375,10,7,2019
72,2019-07-10 ,HealthAssure                                           ,health care                                                ,Primary care medical network                                                                          ,Mumbai                 ,Blume ventures                                                                                                                                                                      ,Series A                    ,20.625,10,7,2019
73,2019-07-09 ,House of Msasaba                                       ,luxury label                                               ,Clothes and Apparel                                                                                   ,Mumbai                 ,Binny bansal                                                                                                                                                                        ,Series A                    ,8.25,9,7,2019
74,2019-07-08 ,Board Infinity                                         ,edtech                                                     ,Full-stack career platform                                                                            ,Chembur                ,Multiple angel investors                                                                                                                                                            ,Angel Round                 ,2.63674125,8,7,2019
75,2019-06-05 ,NoBroker                                               ,E-Commerce                                                 ,Real Estate                                                                                           ,Bengaluru              ,General atlantic                                                                                                                                                                    ,Series C                    ,420.75,5,6,2019
76,2019-06-04 ,Bira91                                                 ,food and beverage                                          ,Brewery                                                                                               ,New Delhi              ,Anicut capital                                                                                                                                                                      ,Debt Funding                ,82.5,4,6,2019
78,2019-06-03 ,Avail Finance                                          ,finance                                                    ,FinTech                                                                                               ,Bengaluru              ,Matrix partners                                                                                                                                                                     ,Series A                    ,74.25,3,6,2019
79,2019-06-04 ,BharatPe                                               ,finance                                                    ,FinTech                                                                                               ,New Delhi              ,Insight partners                                                                                                                                                                    ,Series B                    ,618.75,4,6,2019
80,2019-06-04 ,Recykal                                                ,waste management service                                   ,Optimization                                                                                          ,Hyderabad              ,"Triton investment advisors, Pidilite industries director ajay parekh                                                                                                              ",pre-Series A                ,214.5,4,6,2019
81,2019-06-03 ,Agara Labs                                             ,deep-tech                                                  ,Artificial Intelligence                                                                               ,Bengaluru              ,Blume ventures and rtp global                                                                                                                                                       ,pre-Series A                ,20.625,3,6,2019
83,2019-06-06 ,Chakr Innovation                                       ,energy                                                     ,Renewable Energy                                                                                      ,New Delhi              ,Ian fund                                                                                                                                                                            ,Series A                    ,214.5,6,6,2019
84,2019-06-06 ,Pratilipi                                              ,digital media                                              ,E-Books                                                                                               ,Bengaluru              ,Qiming venture partners                                                                                                                                                             ,Series B                    ,124.653375,6,6,2019
85,2019-06-10 ,Bolo App                                               ,digital media                                              ,Video Platform                                                                                        ,Bengaluru              ,Nexus venture partners                                                                                                                                                              ,Seed Funding                ,3.54915,10,6,2019
86,2019-06-10 ,OkCredit                                               ,fintech                                                    ,Financial Services                                                                                    ,Haryana                ,Tiger global management                                                                                                                                                             ,Series A                    ,127.875,10,6,2019
87,2019-06-06 ,Biz2Credit                                             ,fintech                                                    ,Online Lending Platform                                                                               ,New York               ,Westbridge capital                                                                                                                                                                  ,Series B                    ,429.0,6,6,2019
88,2019-06-08 ,Vogo Automotive Pvt. Ltd.                              ,transportation                                             ,Dockless Scooter Rental Company                                                                       ,Karnataka              ,Alteria capital                                                                                                                                                                     ,Debt Funding                ,29.568,8,6,2019
89,2019-06-04 ,Leegality                                              ,services                                                   ,Digital Documentation                                                                                 ,Mumbai/Bengaluru       ,Mumbai angels                                                                                                                                                                       ,Series A                    ,28.05,4,6,2019
90,2019-05-06 ,Ola                                                    ,transport                                                  ,Cabs                                                                                                  ,Bengaluru              ,Tata sons                                                                                                                                                                           ,Series A                    ,0.0,6,5,2019
91,2019-05-06 ,Saahas Zero Waste                                      ,waste management service                                   ,Optimization                                                                                          ,Bengaluru              ,C4d partners                                                                                                                                                                        ,Venture - Series Unknown    ,7.16595,6,5,2019
92,2019-05-05 ,StyleDotMe                                             ,E-Commerce                                                 ,Fashion and Shopping                                                                                  ,Delhi                  ,"Indian angel network and other angel investors, Innov8 founder ritesh malik, Josh talks founders supriya paul and shobha banga, And former hero corporate president rohit chanana ",Bridge Round                ,0.0,5,5,2019
93,2019-05-01 ,BlackBuck                                              ,transport                                                  ,Logistics                                                                                             ,Bengaluru              ,"Goldman sachs investment partners and silicon valley-based accel, Wellington, Sequoia capital, B capital, Lightstreet, Sands capital and international finance corporation,       ",Series D                    ,1237.5,1,5,2019
94,2019-05-02 ,Zenoti                                                 ,saas                                                       ,Beauty and Wellness Industry                                                                          ,Hyderabad              ,Tiger global management                                                                                                                                                             ,Series C                    ,412.5,2,5,2019
95,2019-05-28 ,Ather Energy                                           ,automobile                                                 ,Electric Vehicle                                                                                      ,Bengaluru              ,Sachin bansal                                                                                                                                                                       ,Series C                    ,420.75,28,5,2019
96,2019-05-28 ,FreshVnF                                               ,agtech                                                     ,Fresh Agriculture Produces                                                                            ,Mumbai                 ,Equanimity ventures                                                                                                                                                                 ,Seed Round                  ,1155.0,28,5,2019
97,2019-05-30 ,GlowRoad                                               ,E-Commerce                                                 ,Retail                                                                                                ,Bengaluru              ,"Korea investment partners, Vertex ventures                                                                                                                                        ",Series B                    ,94.875,30,5,2019
98,2019-05-31 ,Bira91                                                 ,food and beverage                                          ,Brewery                                                                                               ,New Delhi              ,Sixth sense ventures                                                                                                                                                                ,Series B                    ,46.2,31,5,2019
